probe_set	wt_a	wt_b	wt_c	ko_a	ko_b	ko_c	fold_change
Pp1s365_36V6	21363	22110	22618	21841	20639	20279	-1,05
Pp1s365_37V6	259	378	304	480	442	349	1,35
Pp1s365_38V6	1573	1107	1302	1153	1300	1438	-1,02
Pp1s365_41V6	1350	1316	1264	1379	1384	1109	-1,01
Pp1s365_42V6	149	224	166	154	134	110	-1,35
Pp1s365_5V6	69	47	68	53	42	34	-1,43
Pp1s365_9V6	7085	6857	5876	5862	5947	6342	-1,09
Pp1s366_10V6	3455	2612	3667	4084	4669	3215	1,23
Pp1s366_12V6	46	57	45	31	49	55	-1,1
Pp1s366_17V6	9236	10067	8330	9528	9194	10208	1,05
Pp1s366_18V6	32	38	41	37	39	35	1
Pp1s366_19V6	35	79	38	35	36	45	-1,31
Pp1s366_28V6	67	143	64	117	118	75	1,13
Pp1s366_31V6	44	51	43	48	200	262	3,7
Pp1s366_32V6	444	749	608	722	530	742	1,11
Pp1s366_33V6	2553	2598	2871	2852	2255	2934	1
Pp1s366_9V6	2902	2405	3637	4543	4117	4144	1,43
Pp1s3675_2V6	114	70	96	75	56	44	-1,6
Pp1s367_18V6	182	211	283	108	172	166	-1,52
Pp1s367_24V6	40	36	58	44	53	53	1,12
Pp1s367_29V6	3462	3248	2869	1983	2689	2779	-1,29
Pp1s367_2V6	15211	14928	15582	14410	14472	13586	-1,08
Pp1s367_30V6	80	85	134	179	132	219	1,77
Pp1s367_33V6	45	32	50	32	58	32	-1,04
Pp1s367_34V6	51	75	41	62	71	37	1,02
Pp1s367_37V6	27	39	57	36	34	47	-1,05
Pp1s367_39V6	15073	15666	14434	13276	12767	12638	-1,17
Pp1s367_3V6	8442	8256	9839	8410	8339	7166	-1,11
Pp1s367_40V6	75	29	51	29	32	38	-1,57
