probe_set	wt_a	wt_b	wt_c	baseline mean	baseline mean's SE	ko_a	ko_b	ko_c	experiment mean	experiment mean's SE	fold change	lower bound of FC	upper bound of FC
Pp1s101_64V6__1	5956	6275	6776	6335,67	238,65	7572	6408	6262	6747,33	414,48	1,06	0,94	1,2
Pp1s101_65V6__1	363	106	259	242,67	74,64	293	296	270	286,33	8,21	1,18	0,78	2,39
Pp1s101_66V6__1	8216	8451	8771	8479,33	160,84	8929	9418	8227	8858	345,64	1,04	0,97	1,12
Pp1s101_67V6__1	4752	4009	4607	4456	227,39	5535	5401	5319	5418,33	62,95	1,22	1,12	1,33
Pp1s101_71V6__1	69	41	45	51,67	8,74	37	33	41	37	2,31	-1,4	-0,99	-1,83
Pp1s101_73V6__1	3415	3665	3656	3578,67	81,87	4205	3771	4036	4004	126,3	1,12	1,05	1,19
Pp1s101_74V6__1	31465	32892	30106	31487,67	804,33	32441	31584	33154	32393	453,85	1,03	0,98	1,08
Pp1s101_75V6__1	441	866	909	738,67	149,35	957	831	1328	1038,67	149,17	1,41	0,95	2,21
Pp1s101_76V6__1	104	209	225	179,33	37,95	355	217	390	320,67	52,81	1,79	1,16	2,91
Pp1s101_77V6__1	42	56	64	54	6,43	47	42	53	47,33	3,18	-1,14	-0,9	-1,41
Pp1s101_78V6__1	94	93	105	97,33	3,84	92	73	45	70	13,65	-1,39	-1,04	-2,06
Pp1s101_79V6__1	1397	1752	1612	1587	103,24	1959	1709	1526	1731,33	125,49	1,09	0,93	1,28
Pp1s101_80V6__1	13216	14142	13849	13735,67	273,25	14006	13477	13040	13507,67	279,28	-1,02	-0,97	-1,07
Pp1s101_81V6__1	47	43	81	57	12,06	80	83	76	79,67	2,03	1,4	1,03	2,15
Pp1s101_82V6__1	7156	6811	7396	7121	169,78	7494	6844	6845	7061	216,5	-1,01	-0,95	-1,08
Pp1s101_84V6__1	133	60	54	82,33	25,39	86	114	123	107,67	11,14	1,31	0,83	2,69
Pp1s101_86V6__1	27	53	159	79,67	40,37	54	95	75	74,67	11,84	-1,07	-0,18	-2,11
Pp1s101_8V6__1	9535	10221	9832	9862,67	198,62	10056	9315	9516	9629	221,24	-1,02	-0,97	-1,08
Pp1s101_91V6__1	298	212	214	241,33	28,34	324	675	196	398,33	143,18	1,65	0,67	2,76
Pp1s101_94V6__1	1464	1453	1397	1438	20,74	1295	1319	1450	1354,67	48,17	-1,06	-1	-1,13
Pp1s101_95V6__1	23833	24560	22193	23528,67	700,03	26619	25363	25934	25972	363,07	1,1	1,05	1,17
Pp1s101_96V6__1	29	35	27	30,33	2,4	38	32	38	36	2	1,19	1,02	1,4
Pp1s101_99V6__1	1237	1667	1473	1459	124,33	1496	1422	1743	1553,67	97,05	1,06	0,9	1,27
Pp1s101_9V6__1	3686	4094	4594	4124,67	262,57	3507	4237	3759	3834,33	214,07	-1,08	-0,93	-1,24
Pp1s10201_1V6__1	43	69	50	54	7,77	42	89	40	57	16,01	1,06	0,55	1,69
Pp1s1020_4V6__1	138	147	98	127,67	15,06	206	127	151	161,33	23,38	1,26	0,91	1,71
Pp1s10239_2V6__1	74	30	57	53,67	12,81	25	31	30	28,67	1,86	-1,87	-1,13	-2,66
Pp1s10261_1V6__1	69	44	50	54,33	7,54	47	35	31	37,67	4,81	-1,44	-1,05	-1,97
Pp1s10292_2V6__1	53	62	46	53,67	4,63	69	65	45	59,67	7,42	1,11	0,85	1,42
Pp1s102_100V6__1	5601	5178	5897	5558,67	208,63	8585	8242	7060	7962,33	461,9	1,43	1,27	1,6
Pp1s102_101V6__1	4108	4881	5315	4768	352,98	4587	4950	4924	4820,33	116,91	1,01	0,89	1,16
Pp1s102_102V6__1	1443	1862	1327	1544	162,49	1777	1588	1386	1583,67	112,89	1,03	0,84	1,28
Pp1s102_105V6__1	340	154	459	317,67	88,75	284	235	338	285,67	29,75	-1,11	-0,59	-1,7
Pp1s102_106V6__1	72	67	30	56,33	13,25	31	24	48	34,33	7,13	-1,64	-0,93	-2,78
Pp1s102_107V2__1	33232	39037	34614	35627,67	1750,73	37787	35351	35950	36362,67	732,86	1,02	0,94	1,12
Pp1s102_107V6__1	31440	33131	31379	31983,33	574,1	35040	34101	36386	35175,67	663,1	1,1	1,05	1,15
Pp1s102_108V6__1	75	62	103	80	12,1	66	95	103	88	11,24	1,1	0,8	1,55
Pp1s102_109V6__1	105	102	90	99	4,58	109	37	74	73,33	20,79	-1,35	-0,91	-2,54
Pp1s102_114V6__1	59	65	47	57	5,29	54	32	43	43	6,35	-1,33	-1,01	-1,81
Pp1s102_115V6__1	41	50	35	42	4,36	43	53	46	47,33	2,96	1,13	0,93	1,39
Pp1s102_117V6__1	481	704	611	598,67	64,67	536	351	682	523	95,77	-1,14	-0,82	-1,69
Pp1s102_118V6__1	98	69	217	128	45,28	142	190	138	156,67	16,71	1,22	0,74	2,96
Pp1s102_120V6__1	2038	2527	2462	2342,33	153,32	2302	2098	1977	2125,67	94,83	-1,1	-0,96	-1,25
Pp1s102_126V6__1	21237	24375	22143	22585	932,43	20644	20146	24530	21773,33	1385,81	-1,04	-0,92	-1,18
Pp1s102_128V6__1	333	448	324	368,33	39,92	444	237	403	361,33	63,28	-1,02	-0,74	-1,48
Pp1s102_12V6__1	1454	1963	1981	1799,33	172,74	2441	2351	1978	2256,67	141,73	1,25	1,04	1,53
Pp1s102_130V6__1	7772	7169	6164	7035	469	4923	4575	5979	5159	422,13	-1,36	-1,15	-1,63
Pp1s102_133V2__1	14150	12029	11920	12699,67	725,85	12105	13208	15109	13474	877,32	1,06	0,92	1,22
Pp1s102_133V6__1	32625	32255	30605	31828,33	620,92	31172	32032	28535	30579,67	1052,05	-1,04	-0,98	-1,11
Pp1s102_135V6__1	5379	6588	5380	5782,33	402,83	5164	4906	4852	4974	96,27	-1,16	-1,03	-1,3
Pp1s102_136V6__1	19190	17844	18451	18495	389,18	19237	18374	17862	18491	401,22	-1	-0,95	-1,05
Pp1s102_138V6__1	4913	5774	6251	5646	391,51	6063	5936	4621	5540	460,96	-1,02	-0,85	-1,22
Pp1s102_139V2__1	9321	9244	8853	9139,33	144,88	10386	11636	11620	11214	414,03	1,23	1,15	1,31
Pp1s102_139V6__1	9326	10130	9258	9571,33	280,02	10517	10519	11106	10714	196	1,12	1,06	1,19
Pp1s102_140V6__1	6632	8136	6834	7200,67	471,29	7974	8591	8640	8401,67	214,3	1,17	1,04	1,32
Pp1s102_141V6__1	7467	7867	7429	7587,67	140,1	7924	7926	7158	7669,33	255,67	1,01	0,95	1,08
Pp1s102_143V6__1	82	159	35	92	36,14	60	67	181	102,67	39,22	1,12	0,37	3,46
Pp1s102_147V6__1	1356	854	747	985,67	187,73	850	929	782	853,67	42,47	-1,15	-0,79	-1,54
Pp1s102_148V6__1	9410	10758	9424	9864	447,02	9164	9408	10293	9621,67	342,98	-1,03	-0,93	-1,13
Pp1s102_14V6__1	1082	833	952	955,67	71,9	837	951	812	866,67	42,78	-1,1	-0,95	-1,27
Pp1s102_150V6__1	1260	1314	1729	1434,33	148,16	1491	1420	1674	1528,33	75,66	1,07	0,89	1,3
Pp1s102_151V6__1	2358	2095	1594	2015,67	224,09	2382	1799	1606	1929	233,25	-1,04	-0,8	-1,38
Pp1s102_152V6__1	60	50	84	64,67	10,09	42	46	48	45,33	1,76	-1,43	-1,05	-1,81
Pp1s102_154V6__1	53	38	34	41,67	5,78	42	36	43	40,33	2,19	-1,03	-0,79	-1,3
Pp1s102_155V6__1	2541	2104	2255	2300	128,14	2398	2129	1523	2016,67	258,76	-1,14	-0,92	-1,47
Pp1s102_15V6__1	9369	8116	9778	9087,67	499,97	8421	7248	7409	7692,67	367,12	-1,18	-1,05	-1,33
Pp1s102_164V6__1	56	67	75	66	5,51	192	242	405	279,67	64,31	4,24	2,6	6,04
Pp1s102_165V6__1	32	75	69	58,67	13,45	143	90	103	112	15,95	1,91	1,26	3,19
Pp1s102_167V6__1	127	54	123	101,33	23,69	116	75	112	101	13,05	-1	-0,6	-1,5
Pp1s102_16V6__1	681	364	576	540,33	93,23	757	658	681	698,67	29,91	1,29	1	1,82
Pp1s102_171V6__1	65	39	36	46,67	9,21	72	46	91	69,67	13,04	1,49	0,94	2,4
Pp1s102_176V6__1	5456	5512	6486	5818	334,39	5716	5303	5515	5511,33	119,24	-1,06	-0,95	-1,16
Pp1s102_177V6__1	60	29	38	42,33	9,21	43	37	24	34,67	5,61	-1,22	-0,74	-1,89
Pp1s102_179V6__1	35	31	29	31,67	1,76	35	33	30	32,67	1,45	1,03	0,92	1,16
Pp1s102_17V6__1	5081	4899	4242	4740,67	254,81	4934	4105	4328	4455,67	247,68	-1,06	-0,94	-1,21
Pp1s102_180V6__1	26	47	34	35,67	6,12	65	65	57	62,33	2,67	1,75	1,35	2,45
Pp1s102_181V6__1	32503	27069	35224	31598,67	2397,18	28316	28112	22681	26369,67	1845,27	-1,2	-1,01	-1,42
Pp1s102_187V6__1	92	30	110	77,33	24,23	97	85	83	88,33	4,37	1,14	0,75	2,36
Pp1s102_189V6__1	3478	4096	3645	3739,67	184,57	3414	3178	3572	3388	114,48	-1,1	-1	-1,22
Pp1s102_190V6__1	1795	2277	1952	2008	141,93	1964	1955	2318	2079	119,53	1,04	0,89	1,21
Pp1s102_194V6__1	191	123	220	178	28,75	265	299	264	276	11,5	1,55	1,21	2,12
Pp1s102_196V6__1	7488	6329	6162	6659,67	416,96	6781	7514	7033	7109,33	215,01	1,07	0,96	1,2
Pp1s102_19V6__1	1264	866	1296	1142	138,31	605	1200	1117	974	186,05	-1,17	-0,82	-1,78
Pp1s102_201V6__1	46	111	91	82,67	19,22	128	47	114	96,33	25	1,17	0,62	2,11
Pp1s102_204V6__1	66	68	59	64,33	2,73	83	348	111	180,67	84,06	2,81	0,66	4,99
Pp1s102_205V6__1	89	60	67	72	8,74	73	58	69	66,67	4,48	-1,08	-0,85	-1,34
Pp1s102_20V6__1	1537	1673	1643	1617,67	41,25	1817	2150	1920	1962,33	98,43	1,21	1,1	1,33
Pp1s102_210V6__1	183	328	328	279,67	48,33	286	169	220	225	33,87	-1,24	-0,83	-1,81
Pp1s102_217V6__1	2354	2900	2073	2442,33	242,79	2020	2201	2038	2086,33	57,57	-1,17	-0,97	-1,37
Pp1s102_21V6__1	98	143	77	106	19,47	139	226	95	153,33	38,49	1,45	0,8	2,38
Pp1s102_22V6__1	107	87	68	87,33	11,26	39	42	40	40,33	0,88	-2,17	-1,7	-2,63
Pp1s102_23V6__1	30	44	38	37,33	4,06	35	33	33	33,67	0,67	-1,11	-0,91	-1,31
Pp1s102_28V6__1	58	43	35	45,33	6,74	55	41	37	44,33	5,46	-1,02	-0,73	-1,4
Pp1s102_32V6__1	727	607	371	568,33	104,57	427	444	360	410,33	25,64	-1,39	-0,95	-1,85
Pp1s102_33V6__1	54	55	66	58,33	3,84	24	43	41	36	6,03	-1,62	-1,24	-2,27
Pp1s102_34V6__1	31	37	58	42	8,19	30	46	34	36,67	4,81	-1,15	-0,74	-1,66
Pp1s102_35V6__1	8879	8482	8255	8538,67	182,35	7827	7410	6795	7344	299,73	-1,16	-1,08	-1,26
Pp1s102_3V6__1	453	247	350	350	59,47	499	387	498	461,33	37,17	1,32	0,99	1,87
Pp1s102_41V6__1	5822	4825	4328	4991,67	439,26	1301	1255	1354	1303,33	28,6	-3,83	-3,26	-4,41
Pp1s102_47V6__1	90	36	32	52,67	18,7	39	45	29	37,67	4,67	-1,4	-0,57	-2,34
Pp1s102_49V6__1	6838	5856	4514	5736	673,56	1836	1707	2091	1878	112,82	-3,05	-2,42	-3,75
Pp1s102_50V6__1	1958	2357	893	1736	436,95	141	184	110	145	21,46	-11,97	-6,75	-18,7
Pp1s102_55V6__1	38	33	32	34,33	1,86	20	81	22	41	20,01	1,19	0,24	2,17
Pp1s102_57V6__1	167	43	36	82	42,55	56	45	37	46	5,51	-1,78	-0,26	-3,45
Pp1s102_59V6__1	9302	9875	8953	9376,67	268,76	2597	2529	2636	2587,33	31,26	-3,62	-3,44	-3,81
Pp1s102_5V6__1	1480	1798	1723	1667	95,97	2210	1888	1815	1971	121,34	1,18	1,03	1,36
Pp1s102_61V6__1	49	91	55	65	13,11	54	60	48	54	3,46	-1,2	-0,8	-1,64
Pp1s102_63V6__1	3490	3467	5475	4144	665,53	3917	4271	4093	4093,67	102,19	-1,01	-0,74	-1,28
Pp1s102_66V6__1	1641	1786	1881	1769,33	69,78	2463	1854	2189	2168,67	176,1	1,23	1,05	1,41
Pp1s102_67V6__1	28452	29744	29556	29250,67	403	31247	29243	27374	29288	1118,27	1	0,93	1,07
Pp1s102_69V6__1	46	31	38	38,33	4,33	50	43	30	41	5,86	1,07	0,78	1,44
Pp1s102_71V6__1	9911	9258	9494	9554,33	190,9	10812	13789	11989	12196,67	865,64	1,28	1,12	1,43
Pp1s102_72V6__1	80	50	35	55	13,23	26	30	36	30,67	2,91	-1,79	-1,06	-2,61
Pp1s102_73V6__1	75	30	59	54,67	13,17	36	29	29	31,33	2,33	-1,74	-1,04	-2,5
Pp1s102_74V6__1	1308	1385	1174	1289	61,65	968	1190	1358	1172	112,94	-1,1	-0,93	-1,33
Pp1s102_76V6__1	23	53	42	39,33	8,76	43	41	58	47,33	5,36	1,2	0,83	1,95
Pp1s102_77V6__1	101	65	387	184,33	101,86	225	230	202	219	8,62	1,19	0,62	13,05
Pp1s102_79V6__1	2475	2002	2921	2466	265,33	2231	2447	2041	2239,67	117,28	-1,1	-0,89	-1,33
Pp1s102_81V6__1	13190	11203	13274	12555,67	676,77	13486	10677	13163	12442	887,41	-1,01	-0,87	-1,17
Pp1s102_82V6__1	714	599	548	620,33	49,09	593	676	637	635,33	23,97	1,02	0,89	1,19
Pp1s102_86V6__1	49	45	47	47	1,15	52	71	70	64,33	6,17	1,37	1,15	1,59
Pp1s102_87V6__1	5355	5398	4632	5128,33	248,48	5587	5323	5819	5576,33	143,28	1,09	1	1,19
Pp1s102_88V2__1	2757	3253	3528	3179,33	225,6	1462	1599	2225	1762	234,85	-1,8	-1,43	-2,36
Pp1s102_88V6__1	2877	2805	3443	3041,67	201,74	1600	1483	2670	1917,67	377,68	-1,59	-1,17	-2,37
Pp1s102_90V6__1	6400	7421	6751	6857,33	299,49	6618	7394	7687	7233	318,92	1,05	0,95	1,17
Pp1s102_92V6__1	40	24	41	35	5,51	24	22	54	33,33	10,35	-1,05	-0,63	-2,21
Pp1s102_93V6__1	1511	1648	1201	1453,33	132,22	2086	2448	1902	2145,33	160,38	1,48	1,22	1,8
Pp1s102_94V6__1	42	145	80	89	30,07	78	172	84	111,33	30,38	1,25	0,6	3,02
Pp1s102_97V6__1	91	57	45	64,33	13,78	53	59	66	59,33	3,76	-1,08	-0,7	-1,5
Pp1s10334_1V6__1	45	41	127	71	28,02	38	46	41	41,67	2,33	-1,7	-0,6	-2,84
Pp1s10358_1V6__1	20	37	31	29,33	4,98	47	36	45	42,67	3,38	1,45	1,09	2,06
Pp1s10377_2V6__1	54	54	42	50	4	63	55	43	53,67	5,81	1,07	0,85	1,33
Pp1s10390_1V6__1	48	43	42	44,33	1,86	49	67	90	68,67	11,86	1,55	1,1	2,01
Pp1s103_103V6__1	775	832	877	828	29,51	708	650	878	745,33	68,41	-1,11	-0,95	-1,32
Pp1s103_109V6__1	942	930	306	726	210,03	672	474	537	561	58,4	-1,29	-0,67	-2
Pp1s103_117V6__1	2926	2336	3370	2877,33	299,48	2479	2201	2143	2274,33	103,69	-1,27	-1,04	-1,51
Pp1s103_118V6__1	5070	5253	5032	5118,33	68,22	5335	5572	5345	5417,33	77,39	1,06	1,02	1,09
Pp1s103_119V6__1	14316	15159	12663	14046	733,07	15898	17004	16483	16461,67	319,45	1,17	1,07	1,29
Pp1s103_120V6__1	1992	1926	1689	1869	91,99	2230	2120	2298	2216	51,86	1,19	1,09	1,3
Pp1s103_129V6__1	1383	1109	1754	1415,33	186,9	1930	1586	1748	1754,67	99,36	1,24	0,99	1,61
Pp1s103_12V6__1	4125	3177	3904	3735,33	286,36	3726	3049	2776	3183,67	282,39	-1,17	-0,97	-1,43
Pp1s103_135V6__1	49	50	70	56,33	6,84	233	333	262	276	29,7	4,9	3,75	6,45
Pp1s103_139V6__1	46	81	78	68,33	11,2	188	124	122	144,67	21,67	2,12	1,46	3,1
Pp1s103_13V6__1	4683	4431	5207	4773,67	228,55	4825	4034	5378	4745,67	390	-1,01	-0,86	-1,18
Pp1s103_140V6__1	93	68	47	69,33	13,3	55	34	74	54,33	11,55	-1,28	-0,79	-2,12
Pp1s103_142V6__1	118	53	73	81,33	19,22	37	33	26	32	3,21	-2,54	-1,52	-3,7
Pp1s103_143V6__1	40	29	29	32,67	3,67	42	26	23	30,33	5,9	-1,08	-0,76	-1,64
Pp1s103_145V6__1	75	48	90	71	12,29	88	83	67	79,33	6,33	1,12	0,84	1,59
Pp1s103_148V6__1	85	114	183	127,33	29,07	115	135	131	127	6,11	-1	-0,62	-1,39
Pp1s103_152V6__1	23	24	28	25	1,53	30	29	50	36,33	6,84	1,45	0,99	1,94
Pp1s103_154V6__1	5136	3799	4348	4427,67	388,01	4606	5562	4492	4886,67	339,27	1,1	0,92	1,33
Pp1s103_155V6__1	39	47	44	43,33	2,33	33	29	28	30	1,53	-1,44	-1,28	-1,63
Pp1s103_18V6__1	49	37	54	46,67	5,04	28	47	45	40	6,03	-1,17	-0,87	-1,62
Pp1s103_21V6__1	3801	5008	4569	4459,33	352,72	3378	3365	2910	3217,67	153,88	-1,39	-1,18	-1,61
Pp1s103_23V6__1	3567	3971	3823	3787	118,01	2646	2730	2733	2703	28,51	-1,4	-1,33	-1,48
Pp1s103_24V6__1	2936	3525	3371	3277,33	176,36	2144	2070	1901	2038,33	71,91	-1,61	-1,44	-1,78
Pp1s103_26V6__1	42	46	51	46,33	2,6	70	43	47	53,33	8,41	1,15	0,84	1,48
Pp1s103_27V6__1	398	466	245	369,67	65,35	299	270	416	328,33	44,63	-1,13	-0,76	-1,61
Pp1s103_29V6__1	2520	2317	3316	2717,67	304,85	3250	2793	3127	3056,67	136,53	1,12	0,93	1,4
Pp1s103_30V6__1	94	38	51	61	16,92	82	101	77	86,67	7,31	1,42	0,95	2,64
Pp1s103_35V6__1	1362	1174	1022	1186	98,33	1087	1114	1273	1158	58,03	-1,02	-0,87	-1,2
Pp1s103_36V6__1	44	35	72	50,33	11,14	38	24	32	31,33	4,06	-1,61	-0,99	-2,38
Pp1s103_41V6__1	44	44	64	50,67	6,67	41	28	44	37,67	4,91	-1,35	-0,99	-1,83
Pp1s103_43V6__1	1529	2159	1622	1770	196,34	2414	1812	2105	2110,33	173,8	1,19	0,95	1,51
Pp1s103_47V6__1	80	53	60	64,33	8,09	92	56	77	75	10,44	1,17	0,85	1,59
Pp1s103_49V6__1	3475	4149	3327	3650,33	252,97	3672	3853	3509	3678	99,35	1,01	0,9	1,15
Pp1s103_50V6__1	65	56	66	62,33	3,18	64	54	72	63,33	5,21	1,02	0,86	1,19
Pp1s103_52V6__1	36	28	63	42,33	10,59	53	36	37	42	5,51	-1,01	-0,58	-1,54
Pp1s103_53V6__1	62	136	37	78,33	29,72	55	84	70	69,67	8,37	-1,12	-0,42	-1,92
Pp1s103_56V6__1	50	27	50	42,33	7,67	153	56	122	110,33	28,6	2,61	1,42	4,3
Pp1s103_58V6__1	44	28	31	34,33	4,91	38	41	42	40,33	1,2	1,17	0,95	1,54
Pp1s103_59V6__1	61	79	108	82,67	13,69	113	124	92	109,67	9,39	1,33	1	1,87
Pp1s103_62V6__1	2292	1776	1960	2009,33	150,98	1672	1575	1775	1674	57,74	-1,2	-1,04	-1,37
Pp1s103_63V6__1	16546	16744	17766	17018,67	378,01	15076	17788	17868	16910,67	917,62	-1,01	-0,92	-1,11
Pp1s103_64V6__1	213	79	155	149	38,8	110	67	77	84,67	12,99	-1,76	-0,97	-2,79
Pp1s103_65V6__1	3807	2304	2894	3001,67	437,21	3709	2727	2540	2992	362,54	-1	-0,72	-1,37
Pp1s103_66V6__1	18283	19882	18135	18766,67	559,3	17881	17332	16768	17327	321,31	-1,08	-1,02	-1,15
Pp1s103_67V6__1	22331	24516	20051	22299,33	1289,03	19479	17714	20100	19097,67	714,68	-1,17	-1,04	-1,3
Pp1s103_73V6__1	1409	1281	698	1129,33	218,81	175	99	324	199,33	66,08	-5,67	-3,17	-12,96
Pp1s103_74V6__1	691	692	688	690,33	1,2	604	761	584	649,67	55,97	-1,06	-0,93	-1,24
Pp1s103_75V6__1	3039	2595	2499	2711	166,32	2737	2588	3029	2784,67	129,52	1,03	0,91	1,17
Pp1s103_77V6__1	37	40	59	45,33	6,89	66	50	60	58,67	4,67	1,29	0,99	1,77
Pp1s103_78V6__1	85	26	38	49,67	18	32	28	27	29	1,53	-1,71	-0,69	-2,76
Pp1s103_79V6__1	2389	2495	2506	2463,33	37,3	2291	2315	2357	2321	19,29	-1,06	-1,03	-1,09
Pp1s103_80V6__1	3825	2393	3575	3264,33	441,6	2553	2589	2231	2457,67	113,81	-1,33	-1,02	-1,65
Pp1s103_81V6__1	6914	5830	6488	6410,67	315,3	7805	8888	6812	7835	599,48	1,22	1,05	1,41
Pp1s103_85V6__1	68	36	35	46,33	10,84	56	38	49	47,67	5,24	1,03	0,7	1,71
Pp1s103_89V6__1	12787	11628	11624	12013	387	9757	10990	9470	10072,33	466,25	-1,19	-1,09	-1,31
Pp1s103_90V6__1	968	1320	1128	1138,67	101,75	969	941	770	893,33	62,19	-1,27	-1,05	-1,53
Pp1s103_92V6__1	3651	4006	4326	3994,33	194,94	4160	3831	4309	4100	141,21	1,03	0,93	1,13
Pp1s103_93V6__1	3394	4664	2927	3661,67	518,98	3226	2687	3260	3057,67	185,59	-1,2	-0,9	-1,52
Pp1s103_94V6__1	7902	7855	7596	7784,33	95,14	8095	7918	8521	8178	178,95	1,05	1,01	1,09
Pp1s103_96V6__1	55	59	79	64,33	7,42	49	40	37	42	3,61	-1,53	-1,2	-1,93
Pp1s103_99V6__1	6289	5402	5881	5857,33	256,33	4572	4778	4924	4758	102,1	-1,23	-1,13	-1,33
Pp1s10444_1V6__1	39	47	31	39	4,62	28	35	55	39,33	8,09	1,01	0,64	1,45
Pp1s10451_2V6__1	32	58	35	41,67	8,21	53	50	35	46	5,57	1,1	0,77	1,7
Pp1s104_101V6__1	4570	5107	4442	4706,33	203,71	4601	3557	4189	4115,67	303,6	-1,14	-1	-1,32
Pp1s104_102V6__1	2243	2054	2173	2156,67	55,17	2138	2520	2235	2297,67	114,64	1,07	0,97	1,17
Pp1s104_105V6__1	41	38	47	42	2,65	38	33	44	38,33	3,18	-1,1	-0,93	-1,31
Pp1s104_107V6__1	113	219	287	206,33	50,63	385	178	328	297	61,73	1,44	0,84	2,6
Pp1s104_108V6__1	4705	4486	4871	4687,33	111,49	4717	4396	5575	4896	351,92	1,04	0,92	1,18
Pp1s104_10V6__1	3493	3795	4149	3812,33	189,57	3718	3330	3058	3368,67	191,5	-1,13	-1	-1,28
Pp1s104_110V6__1	761	1124	917	934	105,13	709	542	597	616	49,14	-1,52	-1,19	-1,89
Pp1s104_112V6__1	4588	3636	3698	3974	307,52	3005	3374	3290	3223	111,66	-1,23	-1,06	-1,41
Pp1s104_113V6__1	84	88	29	67	19,04	52	124	80	85,33	20,95	1,27	0,67	2,59
Pp1s104_115V6__1	7201	6910	5935	6682	382,83	6243	6216	6727	6395,33	166,02	-1,04	-0,94	-1,15
Pp1s104_116V6__1	165	180	162	169	5,57	142	127	122	130,33	6,01	-1,3	-1,18	-1,43
Pp1s104_117V6__1	49	40	35	41,33	4,1	27	22	36	28,33	4,1	-1,46	-1,1	-1,99
Pp1s104_119V6__1	2009	2275	2200	2161,33	79,18	3040	2632	2723	2798,33	123,66	1,29	1,18	1,42
Pp1s104_11V6__1	469	420	366	418,33	29,75	491	438	366	431,67	36,22	1,03	0,86	1,23
Pp1s104_126V6__1	9167	8505	9689	9120,33	342,59	10514	10374	8148	9678,67	766,4	1,06	0,91	1,22
Pp1s104_128V6__1	31447	32564	31082	31697,67	445,8	29966	29327	30810	30034,33	429,47	-1,06	-1,02	-1,09
Pp1s104_12V6__1	4557	4589	3937	4361	212,2	4696	4426	4909	4677	139,75	1,07	0,98	1,18
Pp1s104_132V6__1	63	74	56	64,33	5,24	33	44	27	34,67	4,98	-1,86	-1,44	-2,5
Pp1s104_133V6__1	139	146	83	122,67	19,94	163	150	140	151	6,66	1,23	0,96	1,69
Pp1s104_134V6__1	327	228	272	275,67	28,64	375	441	399	405	19,29	1,47	1,23	1,8
Pp1s104_135V6__1	11779	13402	14467	13216	781,51	11818	13217	12710	12581,67	408,92	-1,05	-0,94	-1,17
Pp1s104_136V6__1	11326	11462	10734	11174	223,48	11752	9518	11705	10991,67	736,96	-1,02	-0,91	-1,15
Pp1s104_139V6__1	58	30	55	47,67	8,88	33	38	30	33,67	2,33	-1,42	-0,97	-1,9
Pp1s104_141V6__1	2097	2191	2123	2137	28,02	1649	1613	2048	1770	139,39	-1,21	-1,07	-1,39
Pp1s104_142V6__1	3826	3860	3730	3805,33	38,92	4228	3971	3677	3958,67	159,18	1,04	0,97	1,11
Pp1s104_147V6__1	40	43	36	39,67	2,03	38	31	47	38,67	4,63	-1,03	-0,84	-1,3
Pp1s104_14V6__1	6517	7280	7734	7177	355,07	6461	7035	6032	6509,33	290,55	-1,1	-0,99	-1,23
Pp1s104_156V6__1	2045	2157	1638	1946,67	157,68	1711	1688	1873	1757,33	58,21	-1,11	-0,95	-1,27
Pp1s104_157V6__1	1395	1822	2334	1850,33	271,44	2125	1684	2335	2048	191,83	1,11	0,84	1,51
Pp1s104_158V6__1	6595	6873	7001	6823	119,84	7585	6812	8268	7555	420,58	1,11	1	1,21
Pp1s104_159V6__1	419	399	279	365,67	43,72	661	458	683	600,67	71,62	1,64	1,24	2,18
Pp1s104_169V6__1	96	53	83	77,33	12,73	35	50	48	44,33	4,7	-1,74	-1,23	-2,37
Pp1s104_16V6__1	31813	31636	32069	31839,33	125,69	29502	32422	31277	31067	849,45	-1,02	-0,98	-1,07
Pp1s104_171V6__1	59	49	123	77	23,18	63	59	72	64,67	3,84	-1,19	-0,6	-1,81
Pp1s104_173V6__1	42	61	35	46	7,77	39	37	40	38,67	0,88	-1,19	-0,86	-1,52
Pp1s104_174V6__1	26	73	38	45,67	14,1	26	43	48	39	6,66	-1,17	-0,56	-1,99
Pp1s104_175V6__1	909	629	815	784,33	82,27	1457	1029	818	1101,33	187,98	1,4	0,98	1,92
Pp1s104_177V6__1	7660	7072	7918	7550	250,34	10635	12229	7062	9975,33	1527,62	1,32	0,98	1,67
Pp1s104_178V6__1	45	39	44	42,67	1,86	42	46	48	45,33	1,76	1,06	0,97	1,17
Pp1s104_17V6__1	81	82	39	67,33	14,17	126	89	87	100,67	12,68	1,5	1,02	2,37
Pp1s104_180V6__1	62	58	154	91,33	31,35	32	47	101	60	20,95	-1,52	-0,6	-3,95
Pp1s104_181V6__1	50	35	52	45,67	5,36	58	50	47	51,67	3,28	1,13	0,92	1,43
Pp1s104_182V6__1	8860	10238	10948	10015,33	612,95	11009	10007	10938	10651,33	322,82	1,06	0,95	1,19
Pp1s104_185V6__1	28	90	26	48	21,01	26	28	34	29,33	2,4	-1,64	-0,46	-2,88
Pp1s104_186V6__1	364	350	505	406,33	49,5	526	668	521	571,67	48,19	1,41	1,11	1,82
Pp1s104_187V6__1	64	47	30	47	9,81	29	36	40	35	3,21	-1,34	-0,86	-1,88
Pp1s104_188V6__1	53	49	31	44,33	6,77	24	21	29	24,67	2,33	-1,8	-1,3	-2,38
Pp1s104_192V6__1	47	66	41	51,33	7,54	49	51	41	47	3,06	-1,09	-0,81	-1,4
